Team,Home,Road
Boston Celtics,37,27
Denver Nuggets,33,24
Oklahoma City Thunder,33,24
Minnesota Timberwolves,30,26
Los Angeles Clippers,25-16,26
Dallas Mavericks,25,25
New York Knicks,27,23
Milwaukee Bucks,31,18
New Orleans Pelicans,21,28
Phoenix Suns,25,24
Cleveland Cavaliers,26,22
Indiana Pacers,26,21
Los Angeles Lakers,28,19
Orlando Magic,29,18
Philadelphia 76ers,25,22
Miami Heat,22,24
Golden State Warriors,21,25
Sacramento Kings,24,22
Houston Rockets,27,14
Chicago Bulls,20,19
Atlanta Hawks,21,15
Brooklyn Nets,20,12
Utah Jazz,21,10
Memphis Grizzlies,9,18
Toronto Raptors,14,11
San Antonio Spurs,12,10
Charlotte Hornets,11,10
Portland Trail Blazers,11,10
Washington Wizards,7,8
Detroit Pistons,7,7
