,Plac,Plac
Team,Home,Road
Boston Celtics,37-4,27-14
Denver Nuggets,33-8,24-17
Oklahoma City Thunder,33-8,24-17
Minnesota Timberwolves,30-11,26-15
Los Angeles Clippers,25-16,26-15
Dallas Mavericks,25-16,25-16
New York Knicks,27-14,23-18
Milwaukee Bucks,31-11,18-22
New Orleans Pelicans,21-19,28-14
Phoenix Suns,25-16,24-17
Cleveland Cavaliers,26-15,22-19
Indiana Pacers,26-15,21-20
Los Angeles Lakers,28-14,19-21
Orlando Magic,29-12,18-23
Philadelphia 76ers,25-16,22-19
Miami Heat,22-19,24-17
Golden State Warriors,21-20,25-16
Sacramento Kings,24-17,22-19
Houston Rockets,27-14,14-27
Chicago Bulls,20-21,19-22
Atlanta Hawks,21-20,15-26
Brooklyn Nets,20-21,12-29
Utah Jazz,21-20,10-31
Memphis Grizzlies,9-32,18-23
Toronto Raptors,14-27,11-30
San Antonio Spurs,12-29,10-31
Charlotte Hornets,11-30,10-31
Portland Trail Blazers,11-30,10-31
Washington Wizards,7-34,8-33
Detroit Pistons,7-33,7-35
